Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,62.400002,64.421997,62.200001,64.106003,64.106003,21761000
1/3/2018,64.199997,65.050003,63.110001,63.450001,63.450001,22607500
1/4/2018,62.574001,63.709999,61.136002,62.924,62.924,49731500
1/5/2018,63.324001,63.448002,62.400002,63.316002,63.316002,22956000
1/8/2018,63.200001,67.403999,63.099998,67.281998,67.281998,49297000
1/9/2018,67.031998,67.760002,65.480003,66.737999,66.737999,35733000
1/10/2018,66.440002,67.400002,66,66.959999,66.959999,21549500
1/11/2018,67.047997,68.961998,66.652,67.589996,67.589996,33227500
1/12/2018,67.725998,68.082001,66.734001,67.244003,67.244003,24125500
1/16/2018,67.508003,69,66.959999,68.012001,68.012001,32371500
1/17/2018,68.094002,69.800003,67.949997,69.431999,69.431999,35517500
1/18/2018,69.134003,70.459999,68.748001,68.914001,68.914001,28429000
1/19/2018,69,70.117996,68.519997,70.003998,70.003998,24441500
1/22/2018,69.879997,71.566002,69.839996,70.311996,70.311996,31052000
1/23/2018,72,72.099998,70.199997,70.557999,70.557999,27327000
1/24/2018,70.916,70.949997,68.704002,69.178001,69.178001,26437500
1/25/2018,69.653999,69.839996,67.279999,67.528,67.528,33701500
1/26/2018,68.300003,68.800003,67.141998,68.57,68.57,22697000
1/29/2018,67.970001,70.169998,67.655998,69.905998,69.905998,23735500
1/30/2018,69.028,69.653999,68.433998,69.164001,69.164001,23588500
1/31/2018,69.501999,71.237999,69.038002,70.862,70.862,31070500
2/1/2018,70.199997,71.931999,69.725998,69.849998,69.849998,20988500
2/2/2018,69.688004,70.389999,68.101997,68.75,68.75,18524000
2/5/2018,67.594002,68.893997,66.599998,66.625999,66.625999,22320500
2/6/2018,65.042,67.244003,64.699997,66.793999,66.793999,25442000
2/7/2018,67.797997,69.199997,67.132004,69,69,34846000
2/8/2018,68.662003,69.723999,62.919998,63.046001,63.046001,51573000
2/9/2018,63.986,64.195999,58.952,62.084,62.084,64668500
2/12/2018,63.226002,63.616001,61.25,63.146,63.146,31139000
2/13/2018,63.004002,64.837997,62.501999,64.732002,64.732002,22801000
2/14/2018,64.167999,65.234001,63.703999,64.461998,64.461998,19753500
2/15/2018,64.900002,66.823997,64.480003,66.814003,66.814003,29564500
2/16/2018,66.5,68.624001,66.328003,67.098,67.098,28213000
2/20/2018,66.893997,68.167999,66.300003,66.954002,66.954002,20047000
2/21/2018,67.206001,67.938004,66.634003,66.660004,66.660004,16098000
2/22/2018,67.106003,69.487999,66.949997,69.234001,69.234001,34849000
2/23/2018,69.566002,70.998001,69.419998,70.410004,70.410004,29087000
2/26/2018,70.699997,71.800003,70.472,71.484001,71.484001,21700000
2/27/2018,71.25,71.998001,70.001999,70.197998,70.197998,23987000
2/28/2018,70.514,71.047997,68.444,68.612,68.612,30348500
3/1/2018,69.001999,69.734001,66.014,66.185997,66.185997,34428000
3/2/2018,65.396004,67.043999,64.594002,67.024002,67.024002,25464000
3/5/2018,66.477997,67.550003,65.858002,66.669998,66.669998,19119000
3/6/2018,66.75,67.274002,65.405998,65.639999,65.639999,21428500
3/7/2018,65.087997,66.5,64.348,66.459999,66.459999,25036500
3/8/2018,66.571999,66.660004,65.253998,65.82,65.82,17831000
3/9/2018,64.82,65.697998,64.473999,65.433998,65.433998,27534000
3/12/2018,65.722,69.442001,65.300003,69.101997,69.101997,41320000
3/13/2018,65.722,69.442001,65.300003,68.367996,68.367996,29829000
3/14/2018,67.351997,67.961998,64.786003,65.325996,65.325996,39837000
3/15/2018,65.875999,66.57,64.220001,65.120003,65.120003,32824000
3/16/2018,64.585999,65.480003,63.813999,64.269997,64.269997,30586500
3/19/2018,63.299999,64.150002,61.933998,62.712002,62.712002,37421500
3/20/2018,62.973999,63.25,61.751999,62.110001,62.110001,23821500
3/21/2018,62.049999,64.487999,62.037998,63.306,63.306,29792000
3/22/2018,62.778,63.764,61.636002,61.82,61.82,24699000
3/23/2018,62.25,62.25,60.09,60.307999,60.307999,33274500
3/26/2018,61.467999,61.518002,58.271999,60.835999,60.835999,41876000
3/27/2018,60.799999,60.854,55.436001,55.835999,55.835999,69360000
3/28/2018,52.916,53.736,50.419998,51.556,51.556,105007000
3/29/2018,51.298,54.192001,49.641998,53.226002,53.226002,75853500
4/2/2018,51.251999,52.066002,48.917999,50.495998,50.495998,80570000
4/3/2018,53.964001,54.669998,50.897999,53.506001,53.506001,94222000
4/4/2018,50.556,57.674,50.400002,57.388,57.388,99483500
4/5/2018,57.868,61.251999,57.639999,61.144001,61.144001,95605500
4/6/2018,60.200001,61.855999,59.099998,59.860001,59.860001,67601500
4/9/2018,60.074001,61.900002,57.841999,57.931999,57.931999,51249000
4/10/2018,59.793999,61.419998,58.736,60.939999,60.939999,54949000
4/11/2018,60.147999,61.796001,59.931999,60.186001,60.186001,37414500
4/12/2018,60.464001,60.790001,58.736,58.816002,58.816002,38044000
4/13/2018,60.720001,60.790001,59.195999,60.068001,60.068001,36636000
4/16/2018,59.799999,59.931999,57.801998,58.242001,58.242001,31692500
4/17/2018,57.773998,58.433998,56.501999,57.537998,57.537998,35000000
4/18/2018,58.216,60.048,57.632,58.669998,58.669998,32788500
4/19/2018,58.216,60.202,57.709999,60.015999,60.015999,30453000
4/20/2018,59.034,59.995998,57.950001,58.048,58.048,28139500
4/23/2018,58.257999,58.324001,56.466,56.674,56.674,24467000
4/24/2018,57,57.417999,55.692001,56.692001,56.692001,28426500
4/25/2018,56.700001,57.032001,55.450001,56.138,56.138,20068000
4/26/2018,55.75,57.158001,55.299999,57.096001,57.096001,21780000
4/27/2018,57.074001,58.894001,56.765999,58.816002,58.816002,21823000
4/30/2018,58.722,59.745998,58.5,58.779999,58.779999,21141000
5/1/2018,58.702,60.164001,58.644001,59.984001,59.984001,23128000
5/2/2018,59.714001,61.369999,59.556,60.23,60.23,44852000
5/3/2018,55.757999,57.608002,55.046001,56.889999,56.889999,86760500
5/4/2018,56.599998,59.372002,55.903999,58.818001,58.818001,42847000
5/7/2018,59.5,61.192001,59.034,60.554001,60.554001,43391000
5/8/2018,60.16,61.549999,59.799999,60.394001,60.394001,29650000
5/9/2018,60.082001,61.402,60.009998,61.369999,61.369999,28637000
5/10/2018,61.5,62.598,60.821999,61.004002,61.004002,28258000
5/11/2018,61.540001,61.776001,59.816002,60.212002,60.212002,23398000
5/14/2018,60.664001,60.987999,58.324001,58.394001,58.394001,36434000
5/15/2018,57.001999,57.391998,56.099998,56.835999,56.835999,47596000
5/16/2018,56.765999,57.762001,56.312,57.296001,57.296001,28370000
5/17/2018,57.18,57.838001,56.793999,56.908001,56.908001,22103000
5/18/2018,56.93,56.93,54.799999,55.363998,55.363998,36259500
5/21/2018,56.265999,58.298,56.259998,56.897999,56.897999,45913000
5/22/2018,57.551998,57.599998,54.683998,55.001999,55.001999,44729000
5/23/2018,55.551998,55.981998,54.799999,55.813999,55.813999,29925500
5/24/2018,55.68,56.222,54.978001,55.57,55.57,20883500
5/25/2018,55.526001,55.928001,55.122002,55.77,55.77,19375500
5/29/2018,55.702,57.299999,55.23,56.751999,56.751999,28333000
5/30/2018,56.658001,59.001999,56.32,58.344002,58.344002,37448500
5/31/2018,57.442001,58.074001,56.585999,56.945999,56.945999,29598500
6/1/2018,57.172001,58.389999,56.768002,58.363998,58.363998,27122000
6/4/2018,58.868,59.799999,58.709999,59.348,59.348,23989000
6/5/2018,59.540001,59.560001,57.348,58.226002,58.226002,29976000
6/6/2018,60.099998,64.433998,59.495998,63.900002,63.900002,93836500
6/7/2018,63.23,66,62.716,63.217999,63.217999,71726500
6/8/2018,63.799999,64.896004,63.43,63.532001,63.532001,41026000
6/11/2018,64.501999,66.931999,64.5,66.419998,66.419998,65917500
6/12/2018,68.940002,70.994003,67.599998,68.554001,68.554001,111737000
6/13/2018,69.342003,69.440002,67.959999,68.956001,68.956001,47349000
6/14/2018,69.526001,71.75,69.32,71.543999,71.543999,54905000
6/15/2018,70.767998,72.933998,70.25,71.634003,71.634003,54241500
6/18/2018,71.080002,74.746002,70.900002,74.166,74.166,60366000
6/19/2018,73.031998,74,69.25,70.510002,70.510002,63809500
6/20/2018,71.608002,72.875999,70.400002,72.444,72.444,41918500
6/21/2018,72.400002,73.241997,69.253998,69.501999,69.501999,39835500
6/22/2018,70.307999,70.449997,66.400002,66.725998,66.725998,51330500
6/25/2018,66.024002,67.694,65.5,66.601997,66.601997,34656500
6/26/2018,67.209999,68.709999,65.160004,68.400002,68.400002,37262500
6/27/2018,69,70.157997,67.900002,68.900002,68.900002,41668500
6/28/2018,69.732002,71.403999,69.222,69.986,69.986,41990000
6/29/2018,70.666,70.772003,68.482002,68.589996,68.589996,32462000
7/2/2018,72.014,72.956001,65.970001,67.014,67.014,93799000
7/3/2018,66.349998,66.498001,61.938,62.172001,62.172001,61413000
7/5/2018,62.751999,62.877998,59.243999,61.832001,61.832001,87382000
7/6/2018,60.990002,62.414001,60.400002,61.779999,61.779999,44327500
7/9/2018,62.397999,63.703999,61.599998,63.702,63.702,37984000
7/10/2018,64.912003,65.536003,63.84,64.494003,64.494003,47357500
7/11/2018,63.16,64.388,63.014,63.792,63.792,24420500
7/12/2018,64.286003,64.646004,62.554001,63.341999,63.341999,28606000
7/13/2018,63.116001,63.916,61.849998,63.773998,63.773998,29349000
7/16/2018,62.341999,63.032001,61.25,62.02,62.02,39093500
7/17/2018,61.762001,64.947998,61.700001,64.538002,64.538002,34981000
7/18/2018,65,65.099998,63.25,64.769997,64.769997,28121000
7/19/2018,63.265999,64.708,62.801998,64.045998,64.045998,29576500
7/20/2018,64.246002,64.648003,62.341999,62.716,62.716,25811000
7/23/2018,60.368,61.099998,58.571999,60.639999,60.639999,54964500
7/24/2018,60.883999,61.543999,58.509998,59.486,59.486,47954000
7/25/2018,59.348,61.924,58.900002,61.748001,61.748001,35377000
7/26/2018,60.970001,62.139999,60.728001,61.330002,61.330002,23152500
7/27/2018,61.450001,61.537998,59.068001,59.436001,59.436001,28516500
7/30/2018,59.18,59.220001,57.226002,58.034,58.034,34070500
7/31/2018,58.450001,59.664001,57.813999,59.627998,59.627998,25384500
8/1/2018,59.598,60.599998,58.599998,60.167999,60.167999,50647000
8/2/2018,65.688004,69.998001,64.632004,69.907997,69.907997,116075000
8/3/2018,69.561996,71,68.505997,69.634003,69.634003,68282500
8/6/2018,69.092003,70.996002,68.363998,68.398003,68.398003,42821500
